"X","Y","T","date","hour"
3.98925404510778,6.88222633981484,0,2006-01-27,1
3.29477221069023,5.32816445229662,0.189583333333333,2006-01-27,6
4.33654325335622,3.10799359816014,0.622222222222222,2006-01-27,16
5.46498071236462,5.32824765803652,0.644444444444444,2006-01-27,16
6.59376943942096,4.44047034578556,0.726388888888889,2006-01-27,18
4.68371492686631,5.21714223715801,0.873611111111111,2006-01-28,22
6.24646675736841,4.55137450548467,0.922222222222222,2006-01-28,23
5.29114223446625,6.77131178088652,0.984722222222222,2006-01-28,1
4.33652174009148,3.77403384079973,1.14583333333333,2006-01-28,5
5.63828800787625,6.88237988372083,1.78333333333333,2006-01-28,20
5.46468770073465,6.99335483256634,1.78888888888889,2006-01-28,20
4.24971239054091,3.10799122018665,1.84305555555556,2006-01-28,21
3.72870752450626,2.88598365286483,1.84513888888889,2006-01-28,21
5.11763079755721,6.21625105833603,1.89791666666667,2006-01-29,23
4.94428855620329,3.8850838842285,1.93680555555556,2006-01-29,23
5.37800632406563,6.32729672960792,1.99722222222222,2006-01-29,1
3.3814058601443,3.33003309933207,2.00208333333333,2006-01-29,1
4.16287932604742,3.10798979340341,2.12916666666667,2006-01-29,4
3.81559328803388,4.44007471759494,2.61388888888889,2006-01-29,16
3.46832200934,4.4400937381822,2.61388888888889,2006-01-29,16
4.42333344021221,4.1070575282116,2.78125,2006-01-29,20
4.07604627133391,6.77121860742741,2.90972222222222,2006-01-30,23
5.03075237635424,6.88228338399134,2.92638888888889,2006-01-30,23
5.46509562253377,4.66220593420918,2.97152777777778,2006-01-30,24
4.07604660853573,3.21899598124658,3.01944444444444,2006-01-30,1
4.07604676678895,2.99698267178396,3.39444444444444,2006-01-30,10
3.9892138136552,2.99698314738546,3.39444444444444,2006-01-30,10
4.94431334763641,3.66307036592848,3.59027777777778,2006-01-30,15
4.4233538625437,3.66303041878046,3.68541666666667,2006-01-30,17
4.51017801199562,3.66303469883279,3.68541666666667,2006-01-30,17
4.33652570108664,3.66302708985182,3.68611111111111,2006-01-30,17
4.4233533402237,3.66303041878046,3.68680555555556,2006-01-30,17
4.42335183265892,3.66303041878046,3.68888888888889,2006-01-30,18
3.90238360059114,3.21899788359876,3.71111111111111,2006-01-30,18
3.98921972491977,3.5520165519421,3.80694444444444,2006-01-30,20
6.41957605887948,6.32753633192804,4.97708333333333,2006-02-01,24
6.33277932494688,6.32751113565348,4.97777777777778,2006-02-01,24
4.24969300311323,3.99604501786895,5.5625,2006-02-01,15
3.20773251778518,3.21904354003951,5.98402777777778,2006-02-02,1
5.117543227151,6.88229431745823,5.98402777777778,2006-02-02,1
4.94428715022872,3.8850838842285,6.74444444444444,2006-02-02,19
4.24970269320404,3.55201797864604,6.75208333333333,2006-02-02,19
6.07263749554404,5.32837745899132,6.80694444444444,2006-02-02,20
6.07272140543186,4.99535652158971,6.94444444444444,2006-02-03,24
5.55189416483975,4.77322853459092,7.79236111111111,2006-02-03,20
5.63809348609681,7.88144601685402,7.80833333333333,2006-02-03,20
4.42335522022881,3.66303041878046,7.81944444444444,2006-02-03,21
